transect_name,species,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42
Doug29,deer_fern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug29,spiny_fern,0,0,0,0,0,1,3,0,3,20,0,0,16,4,6,3,8,30,8,3,10,50
Doug29,sword_fern,0,0,12,7,0,80,25,0,0,0,0,9,8,2,0,15,75,50,0,0,40,15
Doug29,bracken_fern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug29,red_huck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,3,0
Doug29,salmon_berr,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug29,tr_blackberry,15,20,7,25,15,1,0,2,0,0,0,12,14,15,10,3,15,1,5,15,7,16
Doug29,salal,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,5,0,20,85,30,6,0
Doug29,starflower,0,0,0,0,1,1,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0
Doug29,foamflower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug29,Eng_holly,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,3,0,0,0,0,0,0
Doug29,Eng_laurel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug29,wall_lettuce,0,0,10,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug29,unk_vetch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug29,bigleaf_maple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug29,vine_maple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug29,osoberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug30,deer_fern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug30,spiny_fern,0,0,0,0,0,0,0,0,1,0.5,6,0,0,0,10,0,3,0,0,35,10,0
Doug30,sword_fern,5,60,75,0,0,0,8,0,0,0,0,35,10,50,0,0,0,0,0,0,0,1
Doug30,bracken_fern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Doug30,red_huck,0,0,0,0,0,0,0.5,0,0,4,0,0,0,0,0,8,0,10,0,0,5,0
Doug30,salmon_berr,0,0,0,0,0,0,0,0,0,0,15,2,0,0,25,70,0,0,30,0,0,0
Doug30,tr_blackberry,2,0,3,13,11,4,3,8,2,0.5,0,4,5,4,15,25,25,30,40,15,20,20
Doug30,salal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,10,0,2,15,10
Doug30,starflower,1,0,0,1,5,10,7,2,0,0,2,0,0,0,2,0,11,0,0,0,0,0
Doug30,foamflower,0,0,0,20,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
Doug30,Eng_holly,0,0,0,0,0,0,5,3,0,7,0,0,0,0,0,0,0,0,15,20,0,80
Doug30,Eng_laurel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug30,wall_lettuce,0,0,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug30,unk_vetch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug30,bigleaf_maple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug30,vine_maple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug30,osoberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug31,deer_fern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug31,spiny_fern,15,0,0,10,0,0,0,0,0,0,0,0,20,20,1,0,3,0,0,0,0,8
Doug31,sword_fern,0,40,25,8,0,0,10,0,0,0,25,0,0,35,60,18,0,0,0,0,0,10
Doug31,bracken_fern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Doug31,red_huck,0,2,0,0,0,0,0,25,0,0,0,0.5,0,0,0,8,8,0.5,0,0,10,0
Doug31,salmon_berr,0,0,25,0,0,0,0,0,0,6,0,0,0,0,8,0,45,25,0,0,20,55
Doug31,tr_blackberry,10,5,30,30,4,10,0,0,5,40,15,20,65,20,0,40,65,25,20,20,45,12
Doug31,salal,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,50,8,5
Doug31,starflower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,12,0,0,0,0,0
Doug31,foamflower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug31,Eng_holly,0,0,0,0,0,0,0,0,0,0,0,8,17,3,0,6,0,0.5,0.5,0.5,0,3
Doug31,Eng_laurel,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug31,wall_lettuce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug31,unk_vetch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug31,bigleaf_maple,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug31,vine_maple,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
